,Author,summaries
132,Spencer H. Bryngelson,"Spencer H. Bryngelson's research contributions span a wide range of areas, including computational fluid dynamics, multiphase flow, bubble dynamics, and quantum computing. His work focuses on developing novel numerical methods and algorithms for simulating complex physical phenomena, such as bubble collapse, cavitation, and fluid-structure interactions. 

Some of his notable research areas include the development of high-order numerical methods, such as the quadrature-based moment method, for accurately simulating non-Gaussian processes. He has also explored the application of machine learning and deep learning techniques, such as physics-informed neural networks, for solving partial differential equations and improving the accuracy of numerical simulations. Additionally, Bryngelson has investigated the use of quantum computing for simulating complex fluid dynamics problems, including the development of a fully quantum algorithm for mesoscale fluid simulations. His work has been published in various top-tier journals and conferences, and has been recognized with several awards and honors."
133,Srijan Kumar,"Srijan Kumar is a researcher with a diverse range of interests and contributions across multiple fields, including Artificial Intelligence, Computer Science, Cybersecurity, and Social Media Analysis. His research focuses on understanding and mitigating the spread of misinformation, particularly in the context of social media and online communities. He has developed various methods and models to detect and counter misinformation, including graph-based approaches, deep learning techniques, and multimodal analysis.

Some of his notable contributions include developing methods for predicting dynamic embedding trajectories in temporal interaction networks, detecting trolls and sockpuppets in online discussion communities, and designing systems for early warning and counter-misinformation response generation. His work has also explored the impact of misinformation on mental health, the role of the crowd in countering misinformation, and the characteristics of misinformation on the web. Through his research, Kumar aims to provide insights and tools for tackling the challenges of AI-generated disinformation and promoting online discourse."
134,Srinivas Aluru,"Srinivas Aluru is a prominent researcher in the field of computational biology and bioinformatics. His research contributions span a wide range of areas, including algorithm design, computational complexity, and high-performance computing. Aluru's work has focused on developing efficient algorithms and software for various bioinformatics tasks, such as genome assembly, sequence alignment, and gene regulatory network analysis.

Some of his notable research contributions include the development of efficient algorithms for whole-genome assembly, such as PCAP, and the design of parallel algorithms for sequence alignment and gene regulatory network analysis. Aluru has also made significant contributions to the field of high-performance computing, including the development of scalable parallel algorithms for the N-body problem and the design of efficient load balancing techniques using space-filling curves. His work has been published in numerous top-tier conferences and journals, including the IEEE Transactions on Computational Biology and Bioinformatics and the Journal of Computational Biology. Aluru's research has had a significant impact on the field of computational biology and bioinformatics, and his contributions have paved the way for the development of new algorithms and software for analyzing large-scale biological data."
135,Stephen Mussmann,"Stephen Mussmann's research contributions span multiple areas in computer science, with a primary focus on active learning, approximation algorithms, and machine learning. His work has significantly impacted the field of machine learning, particularly in the areas of data efficiency, uncertainty sampling, and label-efficient learning.

Mussmann's research has led to the development of efficient data selection methods, such as ""Select Via Proxy,"" which enables the selection of relevant data for deep learning models. He has also made significant contributions to the field of active learning, including the development of algorithms that adapt to the data distribution and the introduction of the concept of ""expected error reduction."" Additionally, Mussmann has worked on the analysis of greedy algorithms for approximation problems, such as uniform decision trees, and has developed a framework for understanding the effectiveness of uncertainty sampling. His work on label-efficient learning has led to the development of the LabelBench framework, which provides a comprehensive benchmarking tool for evaluating label-efficient learning algorithms. Overall, Mussmann's research has had a significant impact on the development of efficient machine learning algorithms and has paved the way for future research in this area."
136,Suguman Bansal,"Suguman Bansal's research contributions span a wide range of areas, including Artificial Intelligence, Automata theory, Formal Verification, and Reinforcement Learning. His work focuses on developing novel methods and algorithms for solving complex problems in these fields. Specifically, he has made significant contributions to the areas of Compositional Learning, Reactive Synthesis, and Quantitative Verification.

Bansal's research has led to the development of new techniques for transforming specifications in reinforcement learning, synthesizing asynchronous reactive programs from temporal specifications, and learning Nash equilibria with high social welfare. His work on comparator automata in quantitative verification has also shown promise in improving the efficiency of verification processes. Furthermore, his research on specification-guided reinforcement learning and inductive generalization in reinforcement learning from specifications has the potential to significantly impact the field of artificial intelligence. Overall, Bansal's contributions have the potential to improve the efficiency and effectiveness of complex systems, and his work has the potential to have a significant impact on a wide range of applications."
137,Surya R. Kalidindi,"Surya R. Kalidindi is a prominent researcher in the field of computational materials science, with a focus on advanced manufacturing, alloy design, and anisotropic materials. His research contributions span a wide range of topics, including crystal plasticity, deformation twinning, strain hardening, and microstructure-sensitive design. Kalidindi has made significant contributions to the development of computational models for predicting the behavior of polycrystalline materials under various loading conditions. His work has also explored the application of machine learning and data mining techniques to continuum materials mechanics, enabling the prediction of material properties and behavior from large datasets.

Kalidindi's research has been published in numerous high-impact journals, including over 40 papers in top-tier materials science and engineering journals. His notable publications include studies on the influence of grain size and stacking-fault energy on deformation twinning in fcc metals, the role of deformation twinning in strain hardening of titanium, and the development of microstructure-sensitive design for performance optimization. Kalidindi's work has had a significant impact on the field of materials science, with applications in areas such as aerospace, automotive, and energy. His research has also been recognized with numerous awards and honors, including the prestigious ASME Materials Science and Engineering Division's 2019 Research Award."
138,Swati Gupta,"Swati Gupta is a researcher with a diverse range of interests and expertise across various fields, including biomedical engineering, materials science, computer science, and public health. Her research contributions span topics such as 2D materials, artificial intelligence, machine learning, and nanotechnology, as well as healthcare-related areas like cancer research, infectious diseases, and public health policy.

Some of her notable research areas include the development of antibacterial materials, antimicrobial properties, and antioxidant properties, as well as the application of machine learning and artificial intelligence in healthcare, such as in the diagnosis of diabetic retinopathy and the analysis of COVID-19's impact on the working population of India. Her work also explores the intersection of technology and healthcare, including the use of virtual reality in rehabilitation technology and the development of expert systems for decision-making. Additionally, she has published research on the impact of policy-related shifts in timing and amount of crop residue burnt on air quality degradation in Northern India, highlighting her interest in environmental policy and public health. Overall, Swati Gupta's research has a significant impact within her field, contributing to the advancement of knowledge in various areas and shedding light on pressing issues in healthcare and the environment."
139,Taesoo Kim,"Taesoo Kim is a researcher with a broad range of interests in computer security, software engineering, and systems. His key research areas include API misuse detection, access control systems, Android security, anonymity networks, attack investigation, and automated testing. He has made significant contributions to the field of security, particularly in the areas of control-flow integrity, data-flow integrity, and trusted execution environments.

Notable publications by Taesoo Kim include ""Inferring fine-grained control flow inside SGX enclaves with branch shadowing,"" ""QSYM: A practical concolic execution engine tailored for hybrid fuzzing,"" and ""T-SGX: Eradicating Controlled-Channel Attacks Against Enclave Programs."" These papers demonstrate his expertise in developing novel techniques for secure execution environments, concolic execution, and hybrid fuzzing. His work has also focused on improving the security and performance of file systems, databases, and operating systems. Overall, Taesoo Kim's research has had a significant impact on the field of computer security, and his contributions have helped to advance the development of secure and reliable software systems."
140,Teodora Baluta,"Teodora Baluta's research contributions span a wide range of areas, including Algorithm Design, Artificial Intelligence, Cybersecurity, and Machine Learning. Her work focuses on developing formal methods and algorithmic techniques to ensure the security and reliability of complex systems. Specifically, she has made significant contributions to the fields of quantitative verification, differential privacy, and causal reasoning. Her research aims to provide formal guarantees and probabilistic properties for various applications, including neural networks, deep learning, and machine learning systems.

Notable publications by Teodora Baluta include papers on quantitative verification of neural networks, scalable verification for deep neural networks, and inferring taint rules without architectural semantics. Her work on causal reasoning and generalization has also been influential, as seen in her papers on membership inference attacks and private hierarchical clustering in federated networks. Additionally, she has explored the effects of insider threats on cybersecurity and the unforgeability of stochastic gradient descent. Overall, Teodora Baluta's research has had a significant impact on the development of secure and reliable machine learning systems, and her work continues to shape the field of artificial intelligence and cybersecurity."
141,Thad Starner,"Thad Starner is a renowned researcher in the field of Human-Computer Interaction, Artificial Intelligence, and Wearable Computing. His research contributions span various areas, including Activity Recognition, Augmented Reality, Authentication, Autism Research, and Computer Vision. 

Starner's notable publications demonstrate his expertise in developing innovative solutions for wearable computing, such as the Gesture Pendant, a self-illuminating, wearable, infrared computer vision system for home automation control and medical monitoring. He has also explored the use of wearable devices for health care applications, such as activity recognition of assembly tasks using body-worn microphones and accelerometers. Additionally, his work on American Sign Language recognition using hidden Markov models and wearable devices has improved accessibility for individuals with disabilities. Furthermore, Starner has investigated the challenges of wearable computing, including power management, security, and user interaction. His research has significant implications for the development of wearable technology, human-computer interaction, and assistive technologies."
142,Thomas Ploetz,"Thomas Ploetz is a researcher with a broad range of interests in the fields of artificial intelligence, machine learning, and ubiquitous computing. His research focuses on developing novel methods for human activity recognition, anomaly detection, and behavioral analysis using wearable sensors, computer vision, and machine learning algorithms. Ploetz has made significant contributions to the development of deep learning models for human activity recognition, including the use of convolutional and recurrent neural networks.

Ploetz's research has also explored the application of machine learning and artificial intelligence in various domains, including healthcare, sports science, and animal behavior. He has developed novel methods for detecting behavioral changes in animals, such as pigs, and has applied machine learning algorithms to analyze data from wearable sensors and mobile devices. Ploetz's work has been published in numerous top-tier conferences and journals, including the IEEE Transactions on Neural Networks and Learning Systems, the IEEE Transactions on Human-Machine Systems, and the Journal of Machine Learning Research. His research has also been recognized with several awards and honors, including the Best Paper Award at the IEEE International Conference on Ubiquitous Computing."
143,Tom Conte,"Tom Conte's research contributions span a wide range of areas in computer architecture, including instruction-level parallelism, cache design, branch prediction, and value prediction. His work has focused on optimizing the performance of high-performance processors, particularly in the areas of instruction scheduling, cache management, and memory-level parallelism. Conte has also explored the use of machine learning and data analytics to improve the performance and efficiency of computer systems.

Some of his notable publications include work on adaptive mode control for static-power-efficient cache design, reducing state loss for effective trace sampling of superscalar processors, and enhancing memory-level parallelism via recovery-free value prediction. Conte's research has also addressed the challenges of combining general-purpose and multimedia processors, as well as the design of instruction fetch mechanisms for VLIW architectures with compressed encodings. His work has had a significant impact on the field of computer architecture, with applications in areas such as high-performance computing, embedded systems, and wearable technology."
144,Tushar Krishna,"Tushar Krishna is a researcher with a broad range of interests in computer architecture, particularly in the areas of accelerator design, network-on-chip (NoC) design, and deep learning acceleration. His research focuses on developing efficient and scalable architectures for various applications, including deep neural networks (DNNs), computer vision, and natural language processing.

Some of his notable contributions include the development of the GARNET NoC model, which has been widely used in the field, and the design of the Eyeriss accelerator for deep convolutional neural networks. He has also made significant contributions to the field of NoC design, including the development of the SMART NoC, which achieves single-cycle reconfigurable NoC for SoC applications. Additionally, his work on the Gem5 simulator has been widely adopted in the field. His research has also explored the use of reinforcement learning for autonomous hardware resource assignment and the design of efficient interconnects for NoCs. Overall, Tushar Krishna's research has had a significant impact on the field of computer architecture, particularly in the areas of accelerator design and NoC design."
145,Umakishore Ramachandran,"Umakishore Ramachandran is a researcher with a diverse range of interests and contributions in the field of computer science. His key research areas include Distributed Systems, Cloud Computing, Edge Computing, Fog Computing, and Internet of Things (IoT). He has made significant contributions to the development of programming models, frameworks, and systems for large-scale applications on IoT, edge, and fog computing platforms.

Some of his notable publications include ""Mobile Fog: A Programming Model for Large-Scale Applications on the Internet of Things,"" ""The Clouds Distributed Operating System,"" and ""DFuse: A Framework for Distributed Data Fusion."" His work has focused on developing scalable, efficient, and fault-tolerant systems for distributed data processing, event processing, and situation awareness applications. He has also explored the use of machine learning and artificial intelligence in distributed systems and IoT applications. Ramachandran's research has had a significant impact on the field of distributed systems, cloud computing, and IoT, and his work has been cited numerous times in the literature."
146,Vassilis Zikas,"Vassilis Zikas is a researcher with a broad range of interests in computer science, particularly in the areas of distributed systems, cryptography, and security. His research focuses on the design and analysis of secure and efficient protocols for various applications, including blockchain, voting systems, and multi-party computation. 

Some of his notable contributions include the development of composable proof-of-stake blockchains, such as Ouroboros, which provides a secure and efficient way to achieve consensus in blockchain systems. He has also made significant contributions to the field of secure multi-party computation, including the design of protocols that achieve fairness and robustness in the presence of malicious adversaries. Additionally, his work on rational protocol design has provided insights into the security of blockchain systems, such as Bitcoin, and has led to the development of new protocols that are resistant to incentive-driven attacks. His research has been recognized through numerous publications in top-tier conferences and journals, and has had a significant impact on the field of computer science."
147,Vernelle A. A. Noel,"Vernelle A. A. Noel is a researcher with a diverse range of interests and expertise in the fields of architecture, design, and computation. Her work focuses on the intersection of craft, culture, and technology, with a particular emphasis on the use of computational design tools to enhance and preserve traditional craft practices. Noel's research explores the potential of computation to democratize access to design and fabrication, and to promote cultural sensitivity and heritage preservation.

Noel's notable publications include studies on the use of computational design in the Trinidad and Tobago carnival, the development of a grammar for wire-bending, and the application of situated computations to bridge craft and computation. Her work also examines the role of embodied cognition and embodied interaction in design and fabrication, and the potential of digital technology to enhance the preservation of cultural artifacts. Through her research, Noel aims to promote a more equitable and inclusive future of computational design, and to highlight the importance of cultural sensitivity and heritage preservation in the development of computational design tools and practices."
148,Victor Fung,"Victor Fung is a researcher with a broad range of interests in materials science, catalysis, and computational chemistry. His research focuses on understanding the atomic and electronic structures of materials, particularly in the context of catalysis and energy applications. Fung's work has explored various aspects of catalysis, including the design and synthesis of single-atom catalysts, the understanding of surface chemistry and catalytic reactions, and the development of computational models for predicting catalytic performance.

Some of Fung's notable contributions include the development of graph neural networks for materials chemistry, the design of perovskite-supported Pt single atoms for methane activation, and the understanding of the reaction mechanisms for high-temperature water gas shift over industrial-type copper-chromium-iron oxide catalysts. His research has also explored the use of machine learning and density functional theory to predict electronic density of states and adsorption energies, and to understand the impact of surface reconstruction on catalytic selectivity. Fung's work has been recognized through numerous publications in top-tier journals, including a paper on single rhodium atoms anchored in micropores for efficient transformation of methane under mild conditions, which has been cited over 273 times."
149,Vijay Ganesh,"Vijay Ganesh is a researcher with a broad range of interests in computer science, including automated reasoning, artificial intelligence, formal methods, and software security. His key research areas include abstraction refinement, access control, algorithm selection, automated reasoning, and satisfiability modulo theories (SMT). 

Ganesh has made significant contributions to the development of SMT solvers, including the Z3 solver, and has applied these tools to a wide range of problems, including software verification, security analysis, and machine learning. His work has also focused on the development of new algorithms and techniques for solving SMT problems, such as the use of machine learning to select the most effective solver for a given problem. Additionally, he has worked on the application of SMT solvers to real-world problems, including the verification of smart contracts and the analysis of large feature models. His research has had a significant impact on the field of automated reasoning and has been widely cited in the literature."
150,Vijay Madisetti,"Vijay Madisetti is a researcher with a diverse range of interests and contributions across various fields. His key research areas include Digital Signal Processing, Blockchain, Cloud Computing, Internet of Things (IoT), and Cyber-physical systems. Madisetti has made notable contributions to the development of adaptive algorithms, array signal processing, and digital signal processing, as evident from his publications on topics such as the Discrete Radon Transform and Cyclostationary signal analysis.

Madisetti's work on Blockchain has focused on scalability, decentralization, and security, with notable publications on blockchain-based identity and access management, combined identity, ownership, integrity, and custody management, and tuning blockchain scalability for fast and low-cost payment and transaction processing. His work on Cloud Computing has explored topics such as cloud-based approaches for interoperable electronic health records, cloud computing applications, and cloud workload modeling. Madisetti's research has also touched on IoT, with publications on IoT platforms, IoT security, and IoT applications. His contributions have been recognized through numerous publications, including the Digital Signal Processing Handbook, which has been cited over 962 times."
151,Vincent John Mooney III,"Vincent John Mooney III is a researcher with a broad range of interests in computer architecture, embedded systems, and cybersecurity. His research contributions span multiple areas, including algorithm design, analog-to-digital conversion, approximate arithmetic, bus arbitration, cache design, circuit design, cloud computing, computer-aided design, computer graphics, computer architecture, computer security, control laws, cyber-physical systems, debugging, digital circuit design, digital logic design, digital systems, distributed systems, dynamic memory allocation, dynamic memory management, dynamic programming, dynamic reconfiguration, embedded systems, energy budgeting, energy optimization, error detection, error minimization, formal mathematical models, frequency scaling, hardware acceleration, hardware security, hardware synthesis, hardware trojan detection, high-level synthesis, high-performance computing, I/O communication protocols, instruction-level analysis, intellectual property cores, leakage current reduction, logic design, low memory overhead, low power electronics, low time overhead, low power design, machine learning, markov chain modeling, medical devices, memory hierarchy management, memory management, memory optimization, mixed-integer programming, module management, multi-threading, multiprocessing, multiprocessor system-on-chip, multiprocessor systems, multiprocessor synchronization, multitasking, nanoscale technology, noise modeling, operating system design, operating system development, operating system integration, operating systems, optimization techniques, parallel computing, parallel computing, pipelined schemes, platform-ASIC architecture, power consumption, power grid security, power management, power analysis, power consumption, power-aware computing, predictable performance, preemption, priority-based resource allocation, probabilistic modeling, probabilistic computation, probabilistic computing, program analysis, quality of service, real-time operating system, real-time operating system design, real-time operating system development, real-time operating system integration, real-time operating systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems, real-time systems"
152,Vladimir Kolesnikov,"Vladimir Kolesnikov is a researcher with a broad range of interests in computer science, particularly in the areas of cryptography, security, and computer graphics. His research contributions span multiple fields, including secure multi-party computation, homomorphic encryption, garbled circuits, and zero-knowledge proofs. 

Kolesnikov's notable publications demonstrate his expertise in designing and optimizing secure protocols for various applications, such as auctions, private set intersection, and secure function evaluation. His work on garbled circuits, a fundamental building block for secure multi-party computation, has led to several improvements and applications, including the development of free XOR gates and the construction of universal circuits. Additionally, he has made significant contributions to the field of zero-knowledge proofs, including the development of efficient and practical protocols for post-quantum signatures and secure two-party computation. His research has a significant impact on the development of secure and private systems, particularly in the context of smart grids, cloud computing, and IoT security."
153,W. Keith Edwards,"W. Keith Edwards is a researcher with a diverse range of interests and contributions in the field of Human-Computer Interaction (HCI), Computer Science, and Ubiquitous Computing. His research focuses on designing and developing systems that are accessible, usable, and socially responsible. Edwards' work spans various areas, including Access Control, Accessibility, Ad Hoc Networking, Artificial Intelligence, Asynchronous Collaboration, Computer Networks, Computer Security, Computer Supported Cooperative Work (CSCW), Distributed Systems, Document Management, Human-Computer Interaction, and Ubiquitous Computing.

Edwards' notable publications demonstrate his commitment to creating systems that are intuitive, flexible, and adaptable to diverse user needs. His work on active properties, context-aware systems, and document management systems has led to the development of innovative solutions, such as Presto, a fluid interactive document space, and LiquidText, a flexible multitouch environment for active reading. Edwards' research also explores the social implications of technology, including the experiences of homeless individuals and the challenges of scaling up community social media. His contributions have a significant impact on the field, emphasizing the importance of user-centered design, social responsibility, and accessibility in the development of technology."
154,"Wei ""Coco"" Xu","Wei ""Coco"" Xu is a researcher with a broad range of interests in natural language processing (NLP) and computer science. Their research contributions span multiple areas, including text simplification, paraphrasing, machine translation, and information extraction. They have made significant contributions to the development of computational frameworks and models for NLP tasks, such as text classification, sentiment analysis, and question answering.

Some of their notable research areas include text simplification, where they have explored the use of paraphrasing and machine translation to simplify complex texts. They have also worked on developing evaluation metrics for text simplification, such as LENS, a learnable evaluation metric. Additionally, they have investigated the use of pre-trained models for NLP tasks, including Arabic information extraction and relation extraction. Their work has also focused on the development of new datasets and corpora, such as the A Continuously Growing Dataset of Sentential Paraphrases. Overall, Wei ""Coco"" Xu's research has had a significant impact on the field of NLP, and their contributions have helped to advance the development of more accurate and effective NLP models and techniques."
155,Wenke Lee,"Wenke Lee is a prominent researcher in the field of computer security, with a focus on intrusion detection, anomaly detection, and malware analysis. His research contributions span multiple areas, including artificial intelligence, machine learning, data mining, and network security. Lee's work has led to the development of various techniques and systems for detecting and preventing cyber threats, such as botnets, malware, and network intrusions.

Some of Lee's notable research contributions include the development of data mining approaches for intrusion detection, the creation of a framework for constructing features and models for intrusion detection systems, and the design of systems for detecting botnets, malware, and network intrusions. His work has also explored the use of machine learning and artificial intelligence in cybersecurity, including the development of ensemble methods for anomaly detection and the use of meta-learning for credit card fraud detection. Lee's research has had a significant impact on the field of cybersecurity, and his work continues to influence the development of new security technologies and techniques."
156,Will Perkins,"Will Perkins is a researcher with a broad range of interests in algorithm design, combinatorics, and statistical physics. His work focuses on developing efficient algorithms for counting and sampling problems in various fields, including graph theory, coding theory, and statistical mechanics. Perkins has made significant contributions to the study of approximate counting, approximation algorithms, and computational complexity.

Perkins' research has explored various topics, including the development of algorithms for counting independent sets in graphs, the study of phase transitions in random graph models, and the analysis of computational thresholds for statistical physics models. He has also worked on the design of efficient sampling and counting algorithms for statistical physics models, such as the Potts model and the Ising model. Perkins' work has been recognized through numerous publications in top-tier conferences and journals, and his research has had a significant impact on the fields of algorithm design, combinatorics, and statistical physics. His contributions have also led to a deeper understanding of the computational complexity of various problems and have provided new insights into the behavior of statistical physics models."
157,Xiuwei Zhang,"Xiuwei Zhang is a researcher with a broad range of interests in bioinformatics, computational biology, and machine learning. Their work focuses on developing novel algorithms and computational methods to analyze and model complex biological systems, including gene regulatory networks, protein structures, and single-cell RNA sequencing data. 

Some of their notable contributions include the development of methods for inferring high-resolution trajectories in single-cell RNA-seq data using RNA velocity, refining transcriptional regulatory networks using network evolutionary models and gene histories, and reconstructing cell-specific gene regulatory networks from single-cell multi-omics and spatial data. They have also made significant contributions to the field of single-cell analysis, including the development of methods for integrating unmatched single-cell RNA-seq and single-cell ATAC-seq data, and simulating multiple faceted variability in single-cell RNA sequencing. Their work has been published in numerous high-impact journals and has been cited extensively in the field."
158,Xu Chu,"Xu Chu is a researcher with a broad range of interests in artificial intelligence, data science, and computer science. Their key research areas include algorithmic fairness, anomaly detection, automated machine learning, data cleaning, data integration, and entity resolution. They have made significant contributions to the development of novel techniques and systems for data cleaning, such as Holoclean, Katara, and Piclean, which leverage probabilistic inference, knowledge bases, and crowdsourcing to improve data quality.

Xu Chu's research has also focused on fairness in AI, with notable contributions to the development of model-agnostic group fairness systems, such as Omnifair, and techniques for detecting and mitigating bias in machine learning models. Additionally, they have explored the application of deep learning and generative models to tasks such as entity resolution and image labeling. Their work has been recognized through numerous publications in top-tier conferences and journals, with a focus on practical applications and real-world impact. Overall, Xu Chu's research has had a significant influence on the development of data science and AI, with a focus on improving data quality, fairness, and transparency."
159,Yalong Yang,"Yalong Yang's research contributions span multiple areas, including 3D rendering, 3D visualization, augmented reality, human-computer interaction, and data visualization. His work focuses on developing innovative techniques for immersive analytics, interactive visualization, and collaborative systems. 

Yang's notable publications include ""Metaverse: Perspectives from graphics, interactions and visualization"" and ""Grand Challenges in Immersive Analytics,"" which highlight the importance of immersive analytics in various fields. His research also explores the use of augmented reality in sports analytics, such as in ""Towards an Understanding of Situated AR Visualization for Basketball Free-Throw Training."" Additionally, he has investigated the effectiveness of embodied interaction in navigating network visualizations and the scalability of network visualization from a cognitive load perspective. Yang's work has significant implications for the development of interactive and immersive systems that can enhance human-computer interaction and data analysis."
160,Yingyan (Celine) Lin,"Yingyan (Celine) Lin is a researcher with a broad range of interests in computer architecture, deep learning, and hardware acceleration. Her research focuses on developing efficient and scalable solutions for deep learning workloads, including algorithm-hardware co-design, neural network acceleration, and model compression. 

Some of her notable contributions include the development of AutoDNNchip, an automated DNN chip predictor and builder for both FPGAs and ASICs, and AutoGAN-Distiller, a framework for compressing generative adversarial networks. She has also proposed various acceleration techniques, such as HW-NAS-Bench, a hardware-aware neural architecture search benchmark, and I-GCN, a graph convolutional network accelerator with runtime locality enhancement. Additionally, her work on dynamic inference, such as Dual dynamic inference, has enabled more efficient, adaptive, and controllable deep inference. Her research has also explored the areas of adversarial attacks, graph neural networks, and neural architecture search, with a focus on developing robust and efficient solutions for real-world applications."
161,Yunan Luo,"Yunan Luo's research contributions span multiple areas, including computational biology, bioinformatics, and artificial intelligence. His work focuses on developing novel methods and frameworks for analyzing and modeling complex biological systems, such as protein structures, protein-protein interactions, and gene regulatory networks. Luo's research also explores the application of machine learning and deep learning techniques to predict protein functions, design new enzymes, and identify potential therapeutic agents.

Some of his notable contributions include the development of ECNet, an evolutionary context-integrated deep learning framework for protein engineering, and the creation of predictive models of drug response that translate from high-throughput screens to individual patients using few-shot learning. Luo's work also involves the integration of heterogeneous data sources, such as genomic, transcriptomic, and proteomic data, to identify potential therapeutic agents and understand the mechanisms of disease. His research has the potential to impact various fields, including precision medicine, agriculture, and biotechnology."
162,Zongchen Chen,"Zongchen Chen is a researcher with a strong focus on algorithm design, approximation algorithms, and computational complexity. His work primarily revolves around the analysis of Markov chains, particularly Glauber dynamics, and their applications in various fields such as statistical physics, machine learning, and data management. Chen's research has led to significant contributions in understanding the mixing time of Markov chains, which is crucial for developing efficient algorithms for sampling and counting problems.

Some of his notable research contributions include the development of optimal mixing time bounds for Glauber dynamics, the study of spectral independence and its applications to holant-type problems, and the analysis of rapid mixing for colorings via spectral independence. Chen's work has also explored the connections between Markov chains and other areas, such as statistical physics, machine learning, and data management. His research has been published in top-tier conferences and journals, and has had a significant impact on the field of theoretical computer science."
163,Zsolt Kira,"Zsolt Kira is a researcher with a broad range of interests in Artificial Intelligence, Computer Vision, and Robotics. His research contributions span multiple areas, including 3D Modeling, 3D Reconstruction, 3D Scene Understanding, and 6D pose estimation. He has also explored topics in Action Segmentation, Action recognition, and Adversarial adaptation. 

Some of his notable publications include ""A Closer Look at Few-shot Classification,"" ""Generalized ODIN: Detecting Out-of-distribution Image without Learning from Out-of-distribution Data,"" and ""Unbiased Teacher for Semi-Supervised Object Detection."" His work has focused on addressing challenges in Continual learning, Domain Adaptation, and Transfer learning. He has also made contributions to the development of novel methods for Object Detection, Semi-supervised learning, and Unsupervised learning."
164,Zvi Galil,"Zvi Galil is a renowned computer scientist who has made significant contributions to the field of algorithms and computational complexity. His research interests span a wide range of areas, including algorithm design, combinatorial optimization, computational biology, and cryptography. Galil's work has focused on developing efficient algorithms for various problems, such as string matching, graph algorithms, and dynamic programming.

Some of his notable contributions include the development of efficient algorithms for finding minimum spanning trees, maximum matching in graphs, and approximate string matching. He has also made significant contributions to the field of parallel algorithms, including the design of optimal parallel algorithms for string matching and the development of techniques for speeding up dynamic graph algorithms. Galil's work has had a profound impact on the field of theoretical computer science, and his research has been widely cited and influential. His contributions have also had practical applications in fields such as computational biology, data compression, and cryptography. Overall, Galil's research has had a lasting impact on the field of algorithms and computational complexity, and his work continues to be widely studied and built upon today."
165,merrick furst,"Merrick Furst's research contributions span a wide range of areas in computer science, including algorithm design, computational complexity, machine learning, and artificial intelligence. His work has focused on developing efficient algorithms for various problems, such as planning, graph isomorphism, and subset sum, as well as exploring the limits of computational complexity and the power of different computational models.

Some of his notable publications include studies on planning graph analysis, polynomial-time algorithms for permutation groups, and the expressive power of voting polynomials. Furst has also made significant contributions to the field of machine learning, including improved learning of AC0 functions and the use of Fourier analysis to characterize statistical query learning. His work has been recognized through various awards and has had a lasting impact on the development of computer science education, as evident in his restructuring of computer science curricula for a global environment."
166,seth hutchinson,"Seth Hutchinson is a prominent researcher in the field of robotics, control systems, and artificial intelligence. His research contributions span multiple areas, including motion planning, visual servo control, autonomous systems, and multi-robot systems. Hutchinson has made significant contributions to the development of algorithms and techniques for motion planning, path planning, and control of robots, particularly in the context of aerial robotics and visual servoing.

Hutchinson's notable publications include a comprehensive textbook on robot modeling and control, as well as numerous research papers on topics such as visual servo control, motion planning, and multi-robot systems. His work has focused on developing efficient and robust algorithms for motion planning, path planning, and control of robots, with applications in areas such as robotics, computer vision, and artificial intelligence. Hutchinson's research has had a significant impact on the field of robotics and control systems, and his work continues to be widely cited and influential."
167,Ümit V. Çatalyürek,"Ümit V. Çatalyürek is a prominent researcher in the field of computational science, with a focus on parallel and distributed computing, graph theory, and bioinformatics. His research contributions span multiple areas, including algorithm design, big data, bioinformatics, computational biology, computer vision, distributed computing, graph partitioning, high-performance computing, machine learning, and parallel computing.

Çatalyürek's notable publications demonstrate his expertise in developing efficient algorithms and tools for solving complex problems in various domains. His work on hypergraph partitioning, parallel sparse matrix algorithms, and graph coloring has had a significant impact on the field of high-performance computing. He has also made notable contributions to bioinformatics, including the development of tools for analyzing large-scale genomic data and the study of protein-protein interactions. Additionally, his research on computer vision and image analysis has led to the development of algorithms for image classification and texture analysis. Overall, Çatalyürek's research has had a significant impact on the development of efficient algorithms and tools for solving complex problems in various domains, and his work continues to influence the field of computational science."
